code,name
SZ.000012,南玻A
SZ.000028,国药一致
SZ.000029,深深房A
SZ.000030,富奥股份
SZ.000035,中国天楹
SZ.000048,京基智农
SZ.000049,德赛电池
SZ.000058,深赛格
SZ.000059,华锦股份
SZ.000061,农产品
SZ.000065,北方国际
SZ.000089,深圳机场
SZ.000099,中信海直
SZ.000156,华数传媒
SZ.000403,派林生物
SZ.000420,吉林化纤
SZ.000422,湖北宜化
SZ.000498,山东路桥
SZ.000503,国新健康
SZ.000506,招金黄金
SZ.000534,万泽股份
SZ.000543,皖能电力
SZ.000550,江铃汽车
SZ.000552,甘肃能化
SZ.000555,神州信息
SZ.000563,陕国投A
SZ.000567,海德股份
SZ.000581,威孚高科
SZ.000600,建投能源
SZ.000603,盛达资源
SZ.000612,焦作万方
SZ.000620,盈新发展
SZ.000628,高新发展
SZ.000636,风华高科
SZ.000650,仁和药业
SZ.000672,上峰材料
SZ.000676,智度股份
SZ.000680,山推股份
SZ.000681,视觉中国
SZ.000682,东方电子
SZ.000685,中山公用
SZ.000686,东北证券
SZ.000688,国城矿业
SZ.000690,宝新能源
SZ.000712,锦龙股份
SZ.000719,中原传媒
SZ.000727,冠捷科技
SZ.000758,中色股份
SZ.000762,西藏矿业
SZ.000766,通化金马
SZ.000767,晋控电力
SZ.000778,新兴铸管
SZ.000791,甘肃能源
SZ.000795,英洛华
SZ.000801,四川九洲
SZ.000810,创维数字
SZ.000811,冰轮环境
SZ.000813,德展健康
SZ.000828,东莞控股
SZ.000829,天音控股
SZ.000833,粤桂股份
SZ.000837,秦川机床
SZ.000848,承德露露
SZ.000860,顺鑫农业
SZ.000875,电投绿能
SZ.000880,潍柴重机
SZ.000885,城发环境
SZ.000899,赣能股份
SZ.000901,航天科技
SZ.000902,新洋丰
SZ.000913,钱江摩托
SZ.000917,电广传媒
SZ.000923,河钢资源
SZ.000927,中国铁物
SZ.000928,中钢国际
SZ.000930,中粮科技
SZ.000935,四川双马
SZ.000950,重药控股
SZ.000962,东方钽业
SZ.000966,长源电力
SZ.000969,安泰科技
SZ.000970,中科三环
SZ.000973,佛塑科技
SZ.000990,诚志股份
SZ.000998,隆平高科
SZ.001227,兰州银行
SZ.001233,海安集团
SZ.001236,弘业期货
SZ.001267,汇绿生态
SZ.001287,中电港
SZ.001301,尚太科技
SZ.001337,四川黄金
SZ.001339,智微智能
SZ.001359,平安电工
SZ.001369,双欣材料
SZ.001382,新亚电缆
SZ.001896,豫能控股
SZ.001914,招商积余
SZ.002003,伟星股份
SZ.002004,华邦健康
SZ.002006,精工科技
SZ.002010,传化智联
SZ.002011,盾安环境
SZ.002015,协鑫能科
SZ.002017,东信和平
SZ.002019,亿帆医药
SZ.002020,京新药业
SZ.002023,海特高新
SZ.002036,联创电子
SZ.002041,登海种业
SZ.002043,兔宝宝
SZ.002045,国光电器
SZ.002046,国机精工
SZ.002048,宁波华翔
SZ.002051,中工国际
SZ.002053,云南能投
SZ.002060,广东建工
SZ.002061,浙江交科
SZ.002063,远光软件
SZ.002073,软控股份
SZ.002075,沙钢股份
SZ.002077,大港股份
SZ.002081,金螳螂
SZ.002091,江苏国泰
SZ.002093,国脉科技
SZ.002096,易普力
SZ.002097,山河智能
SZ.002099,海翔药业
SZ.002100,天康生物
SZ.002101,广东鸿图
SZ.002104,恒宝股份
SZ.002110,三钢闽光
SZ.002121,科陆电子
SZ.002123,梦网科技
SZ.002125,湘潭电化
SZ.002127,南极电商
SZ.002139,拓邦股份
SZ.002145,钛能化学
SZ.002149,西部材料
SZ.002151,北斗星通
SZ.002158,汉钟精机
SZ.002163,海南发展
SZ.002170,芭田股份
SZ.002171,楚江新材
SZ.002174,游族网络
SZ.002176,江特电机
SZ.002181,粤传媒
SZ.002182,宝武镁业
SZ.002183,怡亚通
SZ.002192,融捷股份
SZ.002194,武汉凡谷
SZ.002204,大连重工
SZ.002212,天融信
SZ.002215,诺普信
SZ.002216,三全食品
SZ.002221,东华能源
SZ.002222,福晶科技
SZ.002226,江南化工
SZ.002233,塔牌集团
SZ.002237,恒邦股份
SZ.002239,奥特佳
SZ.002243,力合科创
SZ.002245,蔚蓝锂芯
SZ.002246,北化股份
SZ.002249,大洋电机
SZ.002250,联化科技
SZ.002251,步步高
SZ.002254,泰和新材
